cname,RT,precursor,formula,predicted_molecular_formula,delta_mass_predicted_formula_m/z,delta_mass_predicted_formula_m/z_ppm,parent_nucleus_category,delta_mass_m/z_parent_nucleus,substituent_combinations_text,substituents+formula,substituents+parent_nucleus_mass,delta_mass_predicted_m/z,ppm_difference,predicted_molecular_formula_correct,predicted_molecular_formula_correct,total_number_of_substituent_combinations,link,top_20_abundance_fragments_HCD110,top_20_abundance_fragments_HCD50,CH3/CH4_neutral_loss_judgement,minimum_ppm_CH3/CH4_neutral_loss
0,12.942571,294.11316,,C18H16NO3,-0.00014399999997749546,-0.48961,232.11208,62.00108,2-OH+1-CH2OH,C18H16NO3,294.11247199999997,-0.0006880000000037967,2.33924,,,7,file:\\\C:\work\MS-SMART\results\20230420-XTW-HCD110\_ID0_ppm4=5_294.11316.html,191.0726 (100.0) / 220.07518 (99.7) / 235.06224 (69.8) / 219.06749 (65.4) / 206.05972 (64.6) / 207.06744 (48.8) / 232.0752 (46.7) / 192.08034 (46.5) / 248.06987 (44.9) / 204.08052 (38.8) / 178.06485 (37.1) / 263.05692 (32.2) / 165.06946 (20.2) / 233.04669 (18.0) / 181.0519 (17.8) / 157.05194 (16.1) / 205.05165 (14.8) / 176.06184 (13.9) / 190.06438 (13.7) / 203.07248 (13.7) / ,294.11151 (100.0) / 278.08038 (89.4) / 250.0856 (23.8) / 279.08829 (10.8) / 265.07306 (8.2) / 220.07538 (5.4) / 235.06241 (4.0) / 264.06503 (3.5) / 276.06516 (3.2) / 263.05698 (2.9) / 233.08292 (2.9) / 293.09912 (2.8) / 232.07509 (2.7) / 221.08305 (2.5) / 262.08575 (2.4) / 248.06978 (2.3) / 249.07794 (1.7) / 234.09035 (1.2) / 236.07018 (0.8) / 226.89333 (0.8) / ,0,10.733397322840931
0,12.942571,294.11316,,C18H16NO3,-0.00014399999997749546,-0.48961,232.11208,62.00108,2-OH+1-OCH3,C18H16NO3,294.11247199999997,-0.0006880000000037967,2.33924,,,7,,,,,
0,12.942571,294.11316,,C18H16NO3,-0.00014399999997749546,-0.48961,232.11208,62.00108,1-CH3+3-OH,C18H16NO3,294.11247199999997,-0.0006880000000037967,2.33924,,,7,,,,0,10.733397322840931
0,12.942571,294.11316,,C18H16NO3,-0.00014399999997749546,-0.48961,234.12773,59.98542999999998,1-OH+1-OCH2O-,C18H16NO3,294.112472,-0.0006879999999824804,2.33924,,,7,,,,0,10.733397322840931
0,12.942571,294.11316,,C18H16NO3,-0.00014399999997749546,-0.48961,234.12773,59.98542999999998,1-OH+1-CH2OH+1-O,C18H16NO3,294.112472,-0.0006879999999824804,2.33924,,,7,,,,0,10.733397322840931
0,12.942571,294.11316,,C18H16NO3,-0.00014399999997749546,-0.48961,234.12773,59.98542999999998,1-OH+1-OCH3+1-O,C18H16NO3,294.112472,-0.0006879999999824804,2.33924,,,7,,,,,
0,12.942571,294.11316,,C18H16NO3,-0.00014399999997749546,-0.48961,234.12773,59.98542999999998,1-CH3+2-OH+1-O,C18H16NO3,294.112472,-0.0006879999999824804,2.33924,,,7,,,,0,10.733397322840931
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,232.11208,76.01600000000002,1-OH+2-CH2OH,C19H18NO3,308.12812199999996,4.199999997922532e-05,0.13631,,,16,file:\\\C:\work\MS-SMART\results\20230420-XTW-HCD110\_ID1_ppm4=5_308.12808.html,220.07527 (100.0) / 233.08307 (87.0) / 234.09077 (80.9) / 249.07776 (42.4) / 204.08052 (35.3) / 248.06996 (32.9) / 191.07237 (29.0) / 246.09079 (28.9) / 277.0726 (27.0) / 217.08824 (24.3) / 262.08554 (22.2) / 205.08807 (19.9) / 219.06682 (17.9) / 171.06758 (17.5) / 58.9332 (17.3) / 195.06744 (13.9) / 221.08267 (13.7) / 192.08034 (13.6) / 223.06233 (13.6) / 206.09592 (13.5) / ,292.09604 (100.0) / 308.1272 (98.0) / 264.10101 (21.4) / 293.10364 (8.9) / 234.09081 (5.9) / 290.08035 (4.9) / 278.08035 (4.1) / 235.09859 (3.4) / 277.07257 (3.2) / 279.08749 (2.9) / 249.07755 (2.6) / 250.08549 (2.4) / 58.93322 (2.3) / 256.87827 (1.8) / 263.09335 (1.7) / 262.08609 (1.6) / 246.0903 (1.2) / 276.10065 (1.1) / 247.09865 (1.0) / 236.1026 (0.7) / ,0,8.829772655783362
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,232.11208,76.01600000000002,1-OH+1-OCH3+1-CH2OH,C19H18NO3,308.12812199999996,4.199999997922532e-05,0.13631,,,16,,,,,
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,232.11208,76.01600000000002,1-OH+2-OCH3,C19H18NO3,308.12812199999996,4.199999997922532e-05,0.13631,,,16,,,,,
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,232.11208,76.01600000000002,1-CH3+2-OH+1-CH2OH,C19H18NO3,308.12812199999996,4.199999997922532e-05,0.13631,,,16,,,,0,8.829772655783362
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,232.11208,76.01600000000002,1-CH3+2-OH+1-OCH3,C19H18NO3,308.12812199999996,4.199999997922532e-05,0.13631,,,16,,,,,
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,232.11208,76.01600000000002,2-CH3+3-OH,C19H18NO3,308.12812199999996,4.199999997922532e-05,0.13631,,,16,,,,0,8.829772655783362
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,234.12773,74.00035,1-CH2OH+1-OCH2O-,C19H18NO3,308.128122,4.200000000764703e-05,0.13631,,,16,,,,0,8.829772655783362
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,234.12773,74.00035,2-CH2OH+1-O,C19H18NO3,308.128122,4.200000000764703e-05,0.13631,,,16,,,,0,8.829772655783362
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,234.12773,74.00035,1-OCH3+1-OCH2O-,C19H18NO3,308.128122,4.200000000764703e-05,0.13631,,,16,,,,,
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,234.12773,74.00035,1-OCH3+1-CH2OH+1-O,C19H18NO3,308.128122,4.200000000764703e-05,0.13631,,,16,,,,,
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,234.12773,74.00035,2-OCH3+1-O,C19H18NO3,308.128122,4.200000000764703e-05,0.13631,,,16,,,,,
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,234.12773,74.00035,1-OH+1-CH2OCH2O-,C19H18NO3,308.128122,4.200000000764703e-05,0.13631,,,16,,,,0,8.829772655783362
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,234.12773,74.00035,1-CH3+1-OH+1-OCH2O-,C19H18NO3,308.128122,4.200000000764703e-05,0.13631,,,16,,,,0,8.829772655783362
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,234.12773,74.00035,1-CH3+1-OH+1-CH2OH+1-O,C19H18NO3,308.128122,4.200000000764703e-05,0.13631,,,16,,,,0,8.829772655783362
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,234.12773,74.00035,1-CH3+1-OH+1-OCH3+1-O,C19H18NO3,308.128122,4.200000000764703e-05,0.13631,,,16,,,,,
1,12.933522,308.12808,,C19H18NO3,0.0005859999999984211,1.90181,234.12773,74.00035,2-CH3+2-OH+1-O,C19H18NO3,308.128122,4.200000000764703e-05,0.13631,,,16,,,,0,8.829772655783362
2,10.189614,320.09174,,C19H14NO4,0.0005400000000008731,1.68702,232.11208,87.97966000000002,2-OCH2O-,C19H14NO4,320.09173599999997,-4.00000001832268e-06,0.0125,,,10,file:\\\C:\work\MS-SMART\results\20230420-XTW-HCD110\_ID2_ppm4=5_320.09174.html,204.08055 (100.0) / 191.07281 (45.4) / 220.07545 (43.8) / 203.07285 (39.8) / 176.06192 (36.7) / 202.06483 (29.4) / 233.08305 (19.1) / 232.07532 (18.9) / 190.06483 (18.1) / 205.08835 (14.5) / 248.07013 (14.5) / 169.06476 (14.4) / 192.08055 (13.8) / 189.05574 (10.8) / 219.0675 (10.5) / 178.06477 (10.0) / 234.09096 (8.2) / 246.05443 (8.1) / 216.08025 (7.6) / 178.07788 (7.3) / ,320.09088 (100.0) / 292.09607 (22.5) / 277.0726 (10.9) / 262.08533 (9.1) / 249.07765 (7.0) / 318.07553 (6.5) / 290.08054 (6.4) / 234.09082 (5.8) / 204.08035 (4.4) / 233.08289 (4.0) / 264.10092 (3.2) / 248.0697 (3.1) / 294.07574 (2.9) / 247.06107 (1.6) / 219.06726 (1.5) / 220.0753 (1.5) / 232.07549 (1.3) / 263.09433 (1.3) / 67.88929 (1.2) / 261.0766 (1.2) / ,0,0.46476743060234166
2,10.189614,320.09174,,C19H14NO4,0.0005400000000008731,1.68702,230.09643,89.99531000000002,1-OH+1-CH2OH+1-OCH2O-,C19H14NO4,320.09173599999997,-4.00000001832268e-06,0.0125,,,10,,,,0,0.46476743060234166
2,10.189614,320.09174,,C19H14NO4,0.0005400000000008731,1.68702,230.09643,89.99531000000002,1-OH+1-OCH3+1-OCH2O-,C19H14NO4,320.09173599999997,-4.00000001832268e-06,0.0125,,,10,,,,,
2,10.189614,320.09174,,C19H14NO4,0.0005400000000008731,1.68702,230.09643,89.99531000000002,2-OH+1-CH2OCH2O-,C19H14NO4,320.09173599999997,-4.00000001832268e-06,0.0125,,,10,,,,0,0.46476743060234166
2,10.189614,320.09174,,C19H14NO4,0.0005400000000008731,1.68702,230.09643,89.99531000000002,1-CH3+2-OH+1-OCH2O-,C19H14NO4,320.09173599999997,-4.00000001832268e-06,0.0125,,,10,,,,0,0.46476743060234166
2,10.189614,320.09174,,C19H14NO4,0.0005400000000008731,1.68702,234.12773,85.96401,2-O+1-CH2OCH2O-,C19H14NO4,320.091736,-4.0000000041118255e-06,0.0125,,,10,,,,0,0.46476743060234166
2,10.189614,320.09174,,C19H14NO4,0.0005400000000008731,1.68702,234.12773,85.96401,1-CH3+1-OCH2O-+2-O,C19H14NO4,320.091736,-4.0000000041118255e-06,0.0125,,,10,,,,0,0.46476743060234166
2,10.189614,320.09174,,C19H14NO4,0.0005400000000008731,1.68702,234.12773,85.96401,1-CH3+1-CH2OH+3-O,C19H14NO4,320.091736,-4.0000000041118255e-06,0.0125,,,10,,,,0,0.46476743060234166
2,10.189614,320.09174,,C19H14NO4,0.0005400000000008731,1.68702,234.12773,85.96401,1-CH3+1-OCH3+3-O,C19H14NO4,320.091736,-4.0000000041118255e-06,0.0125,,,10,,,,,
2,10.189614,320.09174,,C19H14NO4,0.0005400000000008731,1.68702,234.12773,85.96401,2-CH3+1-OH+3-O,C19H14NO4,320.091736,-4.0000000041118255e-06,0.0125,,,10,,,,0,0.46476743060234166
3,12.915545,320.12521,,,,,,,,,,,,0.0,0.0,0,,,,,
4,11.043977,322.10522,,,,,,,,,,,,0.0,0.0,0,,,,,
