,m/z,rel_abundance,m/z_int,rel_abundance_rank,energy,m/z_t
0,204.080755,54.14954799035121,204,1,100,204.08078
1,191.07283,31.23317454824941,191,2,100,191.07295
2,192.080735,19.92571338906271,192,3,100,192.08078
3,208.07555,16.55294943740168,208,4,100,208.07569
4,180.080705,4.56179170791155,180,5,100,180.08078
0,204.080625,78.92961443046201,204,1,110,204.08078
1,191.072745,54.06217684125843,191,2,110,191.07295
2,208.075715,27.59661692703487,208,3,110,208.07569
3,192.08079,27.04414918020769,192,4,110,192.08078
4,203.0728,21.62730338666913,203,5,110,203.07295
0,204.080895,79.1857667139116,204,1,120,204.08078
1,191.072815,73.20444490085019,191,2,120,191.07295
2,208.07571,33.7648532698588,208,3,120,208.07569
3,192.080655,31.50169526430326,192,4,120,192.08078
4,207.067435,23.840244066888,207,5,120,207.06787
0,191.07284,100.0,191,1,130,191.07295
1,204.08078,89.07471656007303,204,2,130,204.08078
2,192.080715,34.82265912179867,192,3,130,192.08078
3,208.075635,34.24837503457312,208,4,130,208.07569
4,190.064645,29.89287040324826,190,5,130,190.06513
0,191.07288,100.0,191,1,140,191.07295
1,204.0807,76.00019997081715,204,2,140,204.08078
2,190.06485,37.53595182028351,190,3,140,190.06513
3,192.080805,28.4323111733388,192,4,140,192.08078
4,178.064975,27.47101963848815,178,5,140,178.06513
0,191.072895,100.0,191,1,150,191.07295
1,204.08062,65.81448539051593,204,2,150,204.08078
2,190.065005,46.52533680454192,190,3,150,190.06513
3,178.065035,32.14082821268461,178,4,150,178.06513
4,176.062275,29.007321938318,176,5,150,176.06205
0,204.080895,28.74237471164856,204,1,90,204.08078
1,191.07271,11.10691854730412,191,2,90,191.07295
2,208.07537,6.942233911091245,208,3,90,208.07569
